IBRA Region Name,IBRA Region  Code,IA,IB,II,III,IV,I-IV Total,% IBRA Region,V,VI,V-VI Total,% IBRA Region,Not Applicable,Not Assigned,Total Area Protected (ha),IBRA Region Area (ha),% IBRA Region protected
Arnhem Coast,ARC,,,,,, -   ,0.00,"396,725","1,382,891"," 1,779,616 ",53.35,,," 1,779,616 ","3,335,669",53.35
Arnhem Plateau,ARP,,,"486,415",,," 486,415 ",21.09,,"1,242,262"," 1,242,262 ",53.87,,," 1,728,677 ","2,306,023",74.96
Australian Alps,AUA,"11,079","27,674","738,549","10,296",244," 787,842 ",63.90,0,886, 886 ,0.07,,," 788,727 ","1,232,981",63.97
Avon Wheatbelt,AVW,"163,602",,"200,779",,165," 364,547 ",3.83,,"4,850"," 4,850 ",0.05,,"6,552"," 375,948 ","9,517,104",3.95
Ben Lomond,BEL,28,,"19,950","5,820","60,610"," 86,408 ",13.14,601,"19,333"," 19,933 ",3.03,,," 106,341 ","657,500",16.17
Brigalow Belt North,BBN,"23,960",,"210,991","28,184",597," 263,733 ",1.93,,"56,981"," 56,981 ",0.42,,," 320,714 ","13,674,533",2.35
Brigalow Belt South,BBS,"169,200",,"922,162","4,854","96,748"," 1,192,964 ",4.38,,"259,071"," 259,071 ",0.95,,," 1,452,035 ","27,219,776",5.33
Broken Hill Complex,BHC,,,"132,824",151,"6,720"," 139,696 ",2.48,,"72,076"," 72,076 ",1.28,,," 211,773 ","5,635,422",3.76
Burt Plain,BRT,,,,85,480, 565 ,0.01,"111,488","381,188"," 492,676 ",6.68,,," 493,241 ","7,379,719",6.68
Cape York Peninsula,CYP,,,"2,536,125",66,"4,472"," 2,540,663 ",20.73,"182,869","1,364,332"," 1,547,201 ",12.62,,"18,528"," 4,106,392 ","12,256,457",33.50
Carnarvon,CAR,"89,289",,"1,042,597",396,"4,551"," 1,136,833 ",13.49,1,, 1 ,0.00,,," 1,136,834 ","8,430,172",13.49
Central Arnhem,CEA,,,,,, -   ,0.00,,"1,179,909"," 1,179,909 ",34.08,,," 1,179,909 ","3,462,433",34.08
Central Kimberley,CEK,,,"340,089",,," 340,089 ",4.43,"495,953","1,612,258"," 2,108,212 ",27.47,,," 2,448,300 ","7,675,587",31.90
Central Mackay Coast,CMC,64,,"168,858","2,930",," 171,852 ",11.74,,"29,475"," 29,475 ",2.01,,," 201,327 ","1,464,208",13.75
Central Ranges,CER,,,"312,508",,," 312,508 ",3.07,,"7,952,739"," 7,952,739 ",78.24,,," 8,265,247 ","10,164,044",81.32
Channel Country,CHC,,,"772,834","1,229","203,140"," 977,203 ",3.21,,"2,202,230"," 2,202,230 ",7.24,,," 3,179,432 ","30,409,437",10.46
Cobar Peneplain,COP,"85,053",,"107,549",,"17,374"," 209,976 ",2.84,,, -   ,0.00,,," 209,976 ","7,385,346",2.84
Coolgardie,COO,"1,122,664",,"426,285",,," 1,548,949 ",12.00,,"68,323"," 68,323 ",0.53,,," 1,617,272 ","12,912,209",12.53
Coral Sea,COS,,,,,, -   ,0.00,,, -   ,0.00,,, -   ,"17,167",0.00
Daly Basin,DAB,,,"142,640","1,921",," 144,562 ",6.91,"39,065","35,405"," 74,470 ",3.56,,," 219,032 ","2,092,229",10.47
Dampierland,DAL,"38,760",,"128,118",,"36,768"," 203,646 ",2.44,"2,649","1,016,411"," 1,019,060 ",12.19,,," 1,222,706 ","8,360,871",14.62
Darling Riverine Plains,DRP,"41,327",,"231,834",,"6,848"," 280,010 ",2.62,"4,323",," 4,323 ",0.04,,," 284,332 ","10,699,769",2.66
Darwin Coastal,DAC,,,"619,325",,"67,371"," 686,696 ",24.15,"179,431","12,318"," 191,748 ",6.74,,," 878,445 ","2,843,199",30.90
Davenport Murchison Ranges,DMR,,,,,209, 209 ,0.00,"129,620",," 129,620 ",2.23,,," 129,829 ","5,805,108",2.24
Desert Uplands,DEU,,,"171,284",,"3,782"," 175,066 ",2.52,,"46,007"," 46,007 ",0.66,,," 221,073 ","6,941,095",3.18
Einasleigh Uplands,EIU,,,"471,482","7,419","33,076"," 511,977 ",4.40,,"324,829"," 324,829 ",2.79,,," 836,806 ","11,625,726",7.20
Esperance Plains,ESP,"230,434",889,"615,507",,0," 846,830 ",28.99,16,"3,758"," 3,774 ",0.13,,"3,541"," 854,145 ","2,921,327",29.24
Eyre Yorke Block,EYB,"23,144","115,948","60,466","291,941",104," 491,604 ",8.03,"1,409","432,057"," 433,466 ",7.08,5,," 925,075 ","6,120,409",15.11
Finke,FIN,,,,752,, 752 ,0.01,"1,834","331,958"," 333,792 ",4.59,,," 334,544 ","7,267,416",4.60
Flinders Lofty Block,FLB,"231,512",,"204,431","19,829","5,462"," 461,234 ",6.97,,"130,142"," 130,142 ",1.97,20,," 591,396 ","6,615,765",8.94
Furneaux,FUR,"11,251",9,"69,823","2,559","11,016"," 94,658 ",17.61,"15,968","74,076"," 90,043 ",16.75,,," 184,701 ","537,543",34.36
Gascoyne,GAS,"366,988",,"1,016,827","60,698",462," 1,444,976 ",7.99,"467,798","790,030"," 1,257,828 ",6.96,,," 2,702,804 ","18,075,257",14.95
Gawler,GAW,"157,420","9,814","166,463","39,586","76,651"," 449,933 ",3.75,,"1,460,731"," 1,460,731 ",12.17,,," 1,910,664 ","12,002,883",15.92
Geraldton Sandplains,GES,"261,521",,"304,993",747,"27,622"," 594,884 ",18.93,,652, 652 ,0.02,,289," 595,825 ","3,142,149",18.96
Gibson Desert,GID,"1,845,696",,,"127,524",," 1,973,220 ",12.63,,"7,154,071"," 7,154,071 ",45.77,,," 9,127,292 ","15,628,918",58.40
Great Sandy Desert,GSD,"17,733",,"1,383,586",,," 1,401,319 ",3.55,"16,797","13,238,123"," 13,254,920 ",33.57,,," 14,656,239 ","39,486,135",37.12
Great Victoria Desert,GVD,"3,590,302","493,054","2,413,531","15,253",704," 6,512,845 ",15.42,,"6,421,748"," 6,421,748 ",15.20,,," 12,934,593 ","42,246,564",30.62
Gulf Coastal,GUC,,,,,, -   ,0.00,"297,556","532,119"," 829,674 ",30.60,,," 829,674 ","2,711,718",30.60
Gulf Fall and Uplands,GFU,,,"308,405",,," 308,405 ",2.60,"670,947","1,907,924"," 2,578,870 ",21.77,,," 2,887,276 ","11,847,909",24.37
Gulf Plains,GUP,,,"664,272","7,826",," 672,098 ",3.05,"311,044","387,442"," 698,486 ",3.17,,," 1,370,584 ","22,041,825",6.22
Hampton,HAM,"111,102","44,694","3,526",,," 159,322 ",14.64,,, -   ,0.00,,," 159,322 ","1,088,198",14.64
Indian Tropical Islands,ITI,7,,"8,663",,," 8,670 ",31.73,0,, 0 ,0.00,,," 8,670 ","27,329",31.73
Jarrah Forest,JAF,"116,723",392,"513,010",,"7,627"," 637,752 ",14.14,"1,170","6,258"," 7,428 ",0.16,,"3,060"," 648,239 ","4,509,074",14.38
Kanmantoo,KAN,"11,562","69,918","38,973","36,152","1,015"," 157,620 ",19.40,,"7,243"," 7,243 ",0.89,18,," 164,881 ","812,415",20.30
King,KIN,495,,"18,479","3,115","17,220"," 39,310 ",9.24,"8,910","33,946"," 42,856 ",10.07,"2,149",," 84,315 ","425,567",19.81
Little Sandy Desert,LSD,,,"514,038","386,106",," 900,145 ",8.12,,"4,350,000"," 4,350,000 ",39.23,,," 5,250,145 ","11,089,857",47.34
MacDonnell Ranges,MAC,,,,"4,765",," 4,765 ",0.12,"569,384","5,599"," 574,982 ",14.63,,," 579,748 ","3,929,444",14.75
Mallee,MAL,"1,106,389",,"226,491",,0," 1,332,881 ",18.02,725,, 725 ,0.01,,"1,264"," 1,334,870 ","7,397,559",18.04
Mitchell Grass Downs,MGD,,,"344,792",314,"169,379"," 514,485 ",1.54,,"11,838"," 11,838 ",0.04,,," 526,323 ","33,468,761",1.57
Mount Isa Inlier,MII,,,"174,615",,," 174,615 ",2.58,,"202,075"," 202,075 ",2.98,,," 376,689 ","6,778,263",5.56
Mulga Lands,MUL,"119,017",,"855,920",,"14,293"," 989,231 ",3.93,"38,306","157,253"," 195,558 ",0.78,,"17,102"," 1,201,890 ","25,188,333",4.77
Murchison,MUR,"273,383",,"1,491,417",,638," 1,765,438 ",6.28,"119,791","13,230"," 133,021 ",0.47,,," 1,898,459 ","28,120,554",6.75
Murray Darling Depression,MDD,"708,272","403,950","1,455,606","547,434","138,344"," 3,253,607 ",16.30,"26,781","114,066"," 140,847 ",0.71,,," 3,394,454 ","19,958,349",17.01
Nandewar,NAN,"7,768",,"79,127",35,," 86,931 ",3.22,,"7,389"," 7,389 ",0.27,,"1,128"," 95,448 ","2,701,977",3.53
Naracoorte Coastal Plain,NCP,"42,093",,"48,923","90,570","11,819"," 193,405 ",7.87,320,"42,715"," 43,035 ",1.75,6,," 236,446 ","2,458,215",9.62
New England Tablelands,NET,"26,591","138,732","125,307",586,400," 291,617 ",9.71,645,"6,205"," 6,850 ",0.23,,"4,275"," 302,742 ","3,002,213",10.08
Northern Kimberley,NOK,"1,339",,"1,217,327",,," 1,218,666 ",14.47,"1,151,561","3,048,601"," 4,200,162 ",49.88,,," 5,418,828 ","8,420,100",64.36
NSW North Coast,NNC,"54,972","500,862","440,256",16,"2,113"," 998,219 ",24.98,"3,296",85," 3,381 ",0.08,,," 1,001,600 ","3,996,591",25.06
NSW South Western Slopes,NSS,"54,271","1,444","191,575","1,621","4,379"," 253,290 ",2.92,3,"1,091"," 1,095 ",0.01,,," 254,384 ","8,681,126",2.93
Nullarbor,NUL,"2,599,534","852,575",,"19,965",," 3,472,075 ",17.60,"462,621","2,299,725"," 2,762,346 ",14.01,,," 6,234,420 ","19,722,774",31.61
Ord Victoria Plain,OVP,,,"324,143","1,455","568,285"," 893,883 ",7.13,"577,600","16,333"," 593,933 ",4.74,,," 1,487,816 ","12,540,703",11.86
Pacific Subtropical Islands,PSI,,,"1,952",,6," 1,958 ",33.66,,, -   ,0.00,,," 1,958 ","5,817",33.66
Pilbara,PIL,"117,000",,"1,382,279",,," 1,499,279 ",8.41,1,"5,083"," 5,083 ",0.03,,," 1,504,363 ","17,823,126",8.44
Pine Creek,PCK,,,"790,682",,," 790,682 ",27.73,"425,997",341," 426,338 ",14.95,,," 1,217,020 ","2,851,777",42.68
Riverina,RIV,"55,102",,"370,870","21,424","6,681"," 454,077 ",4.68,"22,908","65,422"," 88,330 ",0.91,,," 542,407 ","9,704,469",5.59
Simpson Strzelecki Dunefields,SSD,"753,045",,"1,809,807",396,"301,513"," 2,864,761 ",10.24,,"5,769,203"," 5,769,203 ",20.62,,," 8,633,963 ","27,984,283",30.85
South East Coastal Plain,SCP,"23,957",,"76,168","3,480","8,928"," 112,533 ",6.43,"1,041","40,072"," 41,112 ",2.35,,," 153,645 ","1,749,237",8.78
South East Corner,SEC,"64,262","206,713","616,995","18,053","3,356"," 909,379 ",35.91,"7,146","8,770"," 15,916 ",0.63,,," 925,295 ","2,532,053",36.54
South Eastern Highlands,SEH,"141,423","192,554","1,130,111","23,231","29,265"," 1,516,584 ",18.11,"8,830","16,443"," 25,273 ",0.30,,," 1,541,857 ","8,375,961",18.41
South Eastern Queensland,SEQ,"38,552","63,802","929,848","22,693","4,840"," 1,059,735 ",13.58,"2,157","46,281"," 48,438 ",0.62,,713," 1,108,887 ","7,804,921",14.21
Southern Volcanic Plain,SVP,"8,778",,"26,773",971,"4,871"," 41,393 ",1.70,,"10,506"," 10,506 ",0.43,,," 51,899 ","2,440,340",2.13
Stony Plains,STP,"29,070",,"67,964","23,049",," 120,083 ",0.91,,"824,387"," 824,387 ",6.26,,," 944,470 ","13,166,372",7.17
Sturt Plateau,STU,"11,538",,,,178," 11,717 ",0.12,"8,734","48,420"," 57,154 ",0.58,,," 68,870 ","9,857,531",0.70
Subantarctic Islands,SAI,,,,,, -   ,0.00,,, -   ,0.00,,, -   ,"49,164",0.00
Swan Coastal Plain,SWA,"83,300",,"83,337",11,463," 167,112 ",10.95,32,85, 117 ,0.01,,"6,872"," 174,101 ","1,525,798",11.41
Sydney Basin,SYB,"59,631","715,130","674,973",33,"1,798"," 1,451,564 ",39.99,"5,307",," 5,307 ",0.15,,," 1,456,871 ","3,629,597",40.14
Tanami,TAN,,,"54,403",,," 54,403 ",0.21,,"11,452,520"," 11,452,520 ",44.05,,," 11,506,923 ","25,997,277",44.26
Tasmanian Central Highlands,TCH,404,0,"219,538",387,"26,587"," 246,917 ",32.16,"21,961","185,224"," 207,185 ",26.98,,," 454,102 ","767,849",59.14
Tasmanian Northern Midlands,TNM,269,,,509,"17,274"," 18,052 ",4.35,"1,825","6,631"," 8,456 ",2.04,245,," 26,752 ","415,445",6.44
Tasmanian Northern Slopes,TNS,500,260,"25,560","1,319","40,136"," 67,775 ",10.88,"4,228","17,233"," 21,461 ",3.44,,," 89,236 ","623,103",14.32
Tasmanian South East,TSE,"9,326",7,"68,171","5,827","71,974"," 155,305 ",13.72,"5,843","22,194"," 28,037 ",2.48,,," 183,341 ","1,131,822",16.20
Tasmanian Southern Ranges,TSR,30,"4,617","334,651","1,191","20,521"," 361,010 ",47.68,"26,138","28,981"," 55,120 ",7.28,,," 416,130 ","757,228",54.95
Tasmanian West,TWE,,,"816,824","8,730","41,527"," 867,081 ",55.40,"43,995","438,441"," 482,436 ",30.83,,," 1,349,517 ","1,565,077",86.23
Tiwi Cobourg,TIW,,,"204,361",,," 204,361 ",20.22,,, -   ,0.00,,," 204,361 ","1,010,580",20.22
Victoria Bonaparte,VIB,"112,641",,"173,995",2,"16,586"," 303,224 ",4.15,"996,738","187,470"," 1,184,208 ",16.22,,," 1,487,432 ","7,301,242",20.37
Victorian Midlands,VIM,"69,880",,"294,987","5,498","21,624"," 391,989 ",11.30,"2,657","2,042"," 4,699 ",0.14,,," 396,688 ","3,469,789",11.43
Warren,WAR,"12,407",,"382,344",,1," 394,752 ",46.73,467,142, 609 ,0.07,,977," 396,339 ","844,771",46.92
Wet Tropics,WET,8,,"961,361","4,039","23,077"," 988,485 ",49.69,"18,843","45,037"," 63,880 ",3.21,,147," 1,052,512 ","1,989,107",52.91
Yalgoo,YAL,"610,731",,"1,049,698",609,"9,554"," 1,670,592 ",32.84,0,"41,681"," 41,681 ",0.82,,," 1,712,273 ","5,087,577",33.66
